STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DT00,DT32,DX32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,PRCP,TAVG,TMAX,TMIN
IN012141800,"NAGPUR SONEGAON, IN",21.1,79.05,310,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,25.0,25.0,62.98222222,6.698421053,112.0,12.28888889,24.45368421,81.53204554,106.2,71.00517182
IN012141800,"NAGPUR SONEGAON, IN",21.1,79.05,310,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,28.0,27.0,62.98222222,6.698421053,108.0,12.28888889,24.45368421,81.53204554,101.9,71.00517182
IN012070800,"BOMBAY SANTACRUZ, IN",19.117,72.85,14,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,65.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,71.9
IN012070800,"BOMBAY SANTACRUZ, IN",19.117,72.85,14,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,74.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,76.8
IN011180800,"JABALPUR, IN",23.2,79.95,393,2025-03,925.6964286,337.0,22.31578947,17.84210526,0,0,0,26.0,22.0,49.0,6.698421053,103.0,0.0,24.45368421,77.7,94.6,60.9
IN011180800,"JABALPUR, IN",23.2,79.95,393,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.0,26.0,65.0,6.698421053,108.0,12.28888889,24.45368421,86.7,102.1,71.3
IN011180800,"JABALPUR, IN",23.2,79.95,393,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,69.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,77.3
IN004091000,"DALTONGANJ, IN",24.05,84.067,221,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,51.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,62.4
IN004091000,"DALTONGANJ, IN",24.05,84.067,221,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,62.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,70.9
IN004091000,"DALTONGANJ, IN",24.05,84.067,221,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,66.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,77.1
IN017011200,"CHANDBALI, IN",20.783,86.733,6,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,65.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,73.3
IN017011200,"CHANDBALI, IN",20.783,86.733,6,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,67.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,77.2
IN017011200,"CHANDBALI, IN",20.783,86.733,6,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,70.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,78.9
IN017121000,"JHARSUGUDA, IN",21.917,84.083,230,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,52.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,63.8
IN019140400,"JAISALMER, IN",26.9,70.917,231,2025-03,609.0,417.0,22.31578947,17.84210526,0,0,0,27.0,22.0,53.0,6.698421053,104.0,0.0,24.45368421,80.9,96.2,65.6
IN019140400,"JAISALMER, IN",26.9,70.917,231,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,70.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,81.2
IN010100400,"THIRUVANANTHAPURAM, IN",8.483,76.95,64,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.0,26.0,62.98222222,6.698421053,97.0,12.28888889,24.45368421,81.53204554,93.8,71.00517182
IN010100400,"THIRUVANANTHAPURAM, IN",8.483,76.95,64,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,25.0,25.0,62.98222222,6.698421053,95.0,12.28888889,24.45368421,81.53204554,93.8,71.00517182
